,Sample.Name,Phylum,Class,Order,Family,Genus,Count,,,,
330,FS891_RNA,MAST-3,MAST-3_unclassified,MAST-3_unclassified,MAST-3_unclassified,MAST-3_unclassified,444,0.032600962,0.032600962,,
338,FS891_RNA,Mollusca,Gastropoda,Caenogastropoda,Caenogastropoda_fa,Caenogastropoda_ge,924,0.067845245,0.067845245,,
341,FS891_RNA,Mollusca,Gastropoda,Vetigastropoda,Vetigastropoda_fa,Vetigastropoda_ge,60453,4.438797201,4.438797201,,
343,FS891_RNA,Nanoarchaeaeota,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,897,0.065862754,0.065862754,,
347,FS891_RNA,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,8690,0.638068378,0.638068378,,
350,FS891_RNA,Nitrospinae,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,575,0.042219714,0.042219714,,
355,FS891_RNA,Ochrophyta,Chrysophyceae,Chrysophyceae_unclassified,Chrysophyceae_unclassified,Chrysophyceae_unclassified,891,0.065422201,0.065422201,,
357,FS891_RNA,Ochrophyta,Chrysophyceae,uncultured,uncultured_fa,uncultured_ge,684,0.050223104,0.050223104,,
364,FS891_RNA,Ochrophyta,Ochrophyta_cl,Ochrophyta_or,Ochrophyta_fa,Bolidomonas,695,0.051030785,0.051030785,,
365,FS891_RNA,Ochrophyta,Ochrophyta_unclassified,Ochrophyta_unclassified,Ochrophyta_unclassified,Ochrophyta_unclassified,748,0.054922341,0.054922341,,
374,FS891_RNA,Patescibacteria,Gracilibacteria,Gracilibacteria_or,Gracilibacteria_fa,Gracilibacteria_ge,409,0.030031066,0.030031066,,
376,FS891_RNA,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22_fa,JGI_0000069-P22_ge,1275,0.093617627,0.093617627,,
377,FS891_RNA,Patescibacteria,Microgenomatia,Candidatus_Pacebacteria,Candidatus_Pacebacteria_fa,Candidatus_Pacebacteria_ge,274,0.020118612,0.020118612,,
386,FS891_RNA,Patescibacteria,Parcubacteria,Parcubacteria_unclassified,Parcubacteria_unclassified,Parcubacteria_unclassified,743,0.054555213,0.054555213,,
389,FS891_RNA,PAUC34f,PAUC34f_cl,PAUC34f_or,PAUC34f_fa,PAUC34f_ge,668,0.049048294,0.049048294,,
397,FS891_RNA,Planctomycetes,OM190,OM190_or,OM190_fa,OM190_ge,983,0.072177355,0.072177355,,
407,FS891_RNA,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,JL-ETNP-F27,618,0.045377015,0.045377015,,
411,FS891_RNA,Planctomycetes,Pla3_lineage,Pla3_lineage_or,Pla3_lineage_fa,Pla3_lineage_ge,2428,0.178277333,0.178277333,,
416,FS891_RNA,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellulaceae_unclassified,891,0.065422201,0.065422201,,
417,FS891_RNA,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rhodopirellula,646,0.047432931,0.047432931,,
426,FS891_RNA,Planctomycetes,Planctomycetes_unclassified,Planctomycetes_unclassified,Planctomycetes_unclassified,Planctomycetes_unclassified,838,0.061530645,0.061530645,,
428,FS891_RNA,Poribacteria,Poribacteria_cl,Poribacteria_or,Poribacteria_fa,Poribacteria_ge,611,0.044863036,0.044863036,,
435,FS891_RNA,Protalveolata,Syndiniales,Syndiniales_or,Syndiniales_Group_III,Syndiniales_Group_III_ge,754,0.055362895,0.055362895,,
438,FS891_RNA,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,672,0.049341997,0.049341997,,
474,FS891_RNA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria_ge,870,0.063880263,0.063880263,,
480,FS891_RNA,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_I_unclassified,868,0.063733412,0.063733412,,
482,FS891_RNA,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,570,0.041852586,0.041852586,,
483,FS891_RNA,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,uncultured,416,0.030545045,0.030545045,,
484,FS891_RNA,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II_ge,1074,0.078859084,0.078859084,,
486,FS891_RNA,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_clade_unclassified,SAR11_clade_unclassified,2622,0.192521897,0.192521897,,
503,FS891_RNA,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,1678,0.12320814,0.12320814,,
507,FS891_RNA,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacteraceae_unclassified,558,0.040971479,0.040971479,,
512,FS891_RNA,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbaceae_unclassified,454,0.033335218,0.033335218,,
513,FS891_RNA,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,554,0.040677777,0.040677777,,
543,FS891_RNA,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,536,0.039356116,0.039356116,,
546,FS891_RNA,Proteobacteria,Deltaproteobacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B)_fa,SAR324_clade(Marine_group_B)_ge,4427,0.325055088,0.325055088,,
554,FS891_RNA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,553,0.040604351,0.040604351,,
563,FS891_RNA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,682,0.050076252,0.050076252,,
566,FS891_RNA,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicellaceae_unclassified,644,0.04728608,0.04728608,,
567,FS891_RNA,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Perspicuibacter,1151,0.084512854,0.084512854,,
573,FS891_RNA,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Candidatus_Marithioploca,829,0.060869814,0.060869814,,
575,FS891_RNA,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Candidatus_Parabeggiatoa,415,0.03047162,0.03047162,,
577,FS891_RNA,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Betaproteobacteriales_unclassified,Betaproteobacteriales_unclassified,874,0.064173966,0.064173966,,
582,FS891_RNA,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Gallionellaceae_unclassified,1586,0.116452986,0.116452986,,
615,FS891_RNA,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,22145,1.626009694,1.626009694,,
645,FS891_RNA,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster,28593,2.099457899,2.099457899,,
646,FS891_RNA,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,27538,2.021993901,2.021993901,,
658,FS891_RNA,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,4536,0.333058477,0.333058477,,
663,FS891_RNA,Prymnesiophyceae,Prymnesiales,Prymnesiales_or,Prymnesiales_fa,Prymnesiales_fa_unclassified,439,0.032233834,0.032233834,,
692,FS891_RNA,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,984,0.072250781,0.072250781,,
693,FS891_RNA,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_ge,18059,1.325992732,1.325992732,,
694,FS891_RNA,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_unclassified,2349,0.172476711,0.172476711,,
698,FS891_RNA,Thermotogae,Thermotogae,Mesoaciditogales,Mesoaciditogaceae,uncultured,2036,0.149494502,0.149494502,,
708,FS891_RNA,Tunicata,Thaliacea,Salpida,Salpida_fa,Salpida_ge,1047,0.076876593,0.076876593,,
711,FS891_RNA,Verrucomicrobia,Verrucomicrobiae,Arctic97B-4_marine_group,Arctic97B-4_marine_group_fa,Arctic97B-4_marine_group_ge,695,0.051030785,0.051030785,,1361923
746,FS903_30_12H,Annelida,Polychaeta,Polychaeta_unclassified,Polychaeta_unclassified,Polychaeta_unclassified,374,0.007598875,0.007598875,,
747,FS903_30_12H,Annelida,Polychaeta,Sabellida,Sabellida_fa,Sabellida_ge,566,0.011499902,0.011499902,,
754,FS903_30_12H,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,386,0.007842689,0.007842689,,
760,FS903_30_12H,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,167738,3.408075248,3.408075248,,
792,FS903_30_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,22345,0.454002322,0.454002322,,
794,FS903_30_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,316376,6.428079592,6.428079592,,
799,FS903_30_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,854,0.017351442,0.017351442,,
801,FS903_30_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,1357,0.02757132,0.02757132,,
806,FS903_30_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,6029,0.122496308,0.122496308,,
808,FS903_30_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,3481852,70.74374093,70.74374093,,
809,FS903_30_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Thiovulaceae_unclassified,40805,0.829069802,0.829069802,,
811,FS903_30_12H,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,2266,0.046040244,0.046040244,,
819,FS903_30_12H,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,842816,17.12420768,17.12420768,,
824,FS903_30_12H,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,3403,0.069141638,0.069141638,,
825,FS903_30_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,3224,0.065504743,0.065504743,,
826,FS903_30_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,11927,0.242330977,0.242330977,,
827,FS903_30_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,2155,0.043784963,0.043784963,,
828,FS903_30_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,356,0.007233154,0.007233154,,
853,FS903_30_12H,Mollusca,Gastropoda,Vetigastropoda,Vetigastropoda_fa,Vetigastropoda_ge,738,0.014994572,0.014994572,,
862,FS903_30_12H,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22_fa,JGI_0000069-P22_ge,411,0.008350636,0.008350636,,
885,FS903_30_12H,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified,835,0.016965403,0.016965403,,
896,FS903_30_12H,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,1173,0.023832836,0.023832836,,
898,FS903_30_12H,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacteraceae_unclassified,374,0.007598875,0.007598875,,
902,FS903_30_12H,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbaceae_unclassified,385,0.007822372,0.007822372,,
903,FS903_30_12H,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,395,0.00802555,0.00802555,,
908,FS903_30_12H,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobiaceae_unclassified,1417,0.028790391,0.028790391,,
