,sample_names.1.,Phylum,Class,Order,Family,Genus,SUM
76,FS891_RNA,Bacteroidetes,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,4583
77,FS891_RNA,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagales_unclassified,Chitinophagales_unclassified,21
78,FS891_RNA,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,50
79,FS891_RNA,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,2
80,FS891_RNA,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Rubidimonas,25
81,FS891_RNA,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Saprospiraceae_unclassified,100
82,FS891_RNA,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,41
83,FS891_RNA,Bacteroidetes,Bacteroidia,Cytophagales,Amoebophilaceae,Amoebophilaceae_unclassified,17
84,FS891_RNA,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Cyclobacteriaceae_unclassified,96
85,FS891_RNA,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,83
86,FS891_RNA,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured,20
87,FS891_RNA,Bacteroidetes,Bacteroidia,Cytophagales,Cytophagales_unclassified,Cytophagales_unclassified,152
88,FS891_RNA,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,5
89,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomicaceae_unclassified,10
90,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,18
91,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NS10_marine_group,152
92,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,67
93,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,1
94,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Croceibacter,1
95,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified,361
96,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,1
97,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,73
98,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maritimimonas,31
99,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,23
100,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,2
101,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,23
102,FS891_RNA,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,1
