,Temperature,Phylum,Class,Order,Family,Genus,Normalized.Counts
265,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.910561313
276,Metatranscriptome,Euryarchaeota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II_unclassified,4.932207113
304,Metatranscriptome,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia,SAR406,0.801400454
365,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicellaceae_unclassified,0.351444717
370,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Candidatus_Marithrix,0.503870551
380,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,1.037028162
385,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster,0.67293676
390,Metatranscriptome,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,0.352110332
397,Metatranscriptome,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_unclassified,1.121561267
413,Metatranscriptome,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,1.367838815
415,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacteriaceae_unclassified,2.663125595
417,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,4.144118959
418,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacteriales_unclassified,0.372078782
432,Metatranscriptome,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,1.043018697
433,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,0.769450934
434,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,1.676018557
435,Metatranscriptome,Aquificae,Aquificae,Aquificales,Aquificales_unclassified,Aquificales_unclassified,1.164826241
436,Metatranscriptome,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,0.780766389
438,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,2.100015309
439,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,0.390050387
440,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,0.771447779
441,Metatranscriptome,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,0.337466802
448,Metatranscriptome,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,6.179569613
504,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,1.036362547
506,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,1.461024914
515,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,0.756138634
516,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,3.050513522
519,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,0.729514034
520,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,2.167242424
523,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.806725374
524,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,2.729021479
556,Metatranscriptome,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,0.607040875
558,Metatranscriptome,Firmicutes,Clostridia,Clostridiales,Family_XI,Finegoldia,0.451286967
562,Metatranscriptome,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,0.390716002
572,Metatranscriptome,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia,SAR406,0.368085092
648,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,1.088280517
661,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,2.031456965
662,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,2.527340136
669,Metatranscriptome,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,0.378069317
689,Metatranscriptome,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,0.648309005
